Transaction_ID,Date,Customer_ID,Customer_Age_Group,City,Region,Store_ID,Category,Product_Name,Brand,Quantity,Unit_Price_INR,Discount_Percent,Total_Amount_INR,Payment_Method,High_Discount_Flag,Gross_Revenue,Discount_Amount,Month,Quarter,Week,Revenue_Per_Unit,Is_Digital
TXN000014,2023-02-13,CUST8962,18-25,Hyderabad,South,STORE049,Beverages,Coffee Powder,Premium,8,1318.23,0,10545.84,Credit Card,False,10545.84,0.0,2,1,7,1318.23,True
TXN000015,2023-04-19,CUST9835,26-35,Jaipur,North,STORE046,Bakery,Donut,PureLife,6,404.93,20,1943.66,UPI,True,2429.58,485.91999999999985,4,2,16,323.9433333333333,True
TXN000016,2023-02-02,CUST6539,18-25,Jaipur,North,STORE038,Snacks & Confectionery,Peanut Butter Cups,Premium,15,190.3,5,2711.78,Credit Card,False,2854.5,142.7199999999998,2,1,5,180.78533333333334,True
TXN000017,2023-04-28,CUST2104,18-25,Hyderabad,South,STORE022,Grains & Pulses,Chickpeas,NatureBest,3,1064.68,0,3194.04,Net Banking,False,3194.04,0.0,4,2,17,1064.68,False
TXN000018,2023-05-05,CUST8749,46-55,Ahmedabad,West,STORE013,Meat & Seafood,Tuna Can,NatureBest,7,813.46,25,4270.66,Cash,True,5694.22,1423.5600000000004,5,2,18,610.0942857142857,False
TXN000019,2023-12-11,CUST2612,18-25,Pune,West,STORE026,Frozen Foods,Veggie Burger,TopBrand,14,705.87,0,9882.18,Cash,False,9882.18,0.0,12,4,50,705.87,False
TXN000020,2023-04-04,CUST5563,46-55,Bangalore,South,STORE016,Meat & Seafood,Prawns,NatureBest,18,678.43,20,9769.39,UPI,True,12211.74,2442.3500000000004,4,2,14,542.7438888888888,True
TXN000021,2023-05-02,CUST3724,46-55,Hyderabad,South,STORE032,Cleaning Supplies,Floor Cleaner,ValueBuy,18,1255.68,0,22602.24,Credit Card,False,22602.24,0.0,5,2,18,1255.68,True
TXN000022,2023-05-16,CUST8454,36-45,Delhi,North,STORE028,Frozen Foods,Frozen Pizza,Premium,13,13.21,20,137.38,UPI,True,171.73000000000002,34.35000000000002,5,2,20,10.567692307692308,True
TXN000023,2023-06-10,CUST1936,18-25,Chennai,South,STORE038,Bakery,Muffin,ValueBuy,7,1453.38,0,10173.66,Net Banking,False,10173.66,0.0,6,2,23,1453.3799999999999,False
TXN000024,2023-02-05,CUST2113,26-35,Hyderabad,South,STORE026,Cleaning Supplies,Laundry Detergent,NatureBest,17,129.37,0,2199.29,Net Banking,False,2199.29,0.0,2,1,5,129.37,False
TXN000025,2023-12-03,CUST9565,36-45,Lucknow,North,STORE017,Meat & Seafood,Sardines,GreenLeaf,2,932.88,20,1492.61,Debit Card,True,1865.76,373.1500000000001,12,4,48,746.305,True
TXN000026,2023-08-23,CUST6180,18-25,Pune,West,STORE001,Meat & Seafood,Tuna Can,ValueBuy,5,1010.82,10,4548.69,Net Banking,False,5054.1,505.41000000000076,8,3,34,909.7379999999999,False
TXN000027,2023-03-09,CUST6718,18-25,Mumbai,West,STORE016,Grains & Pulses,Wheat Flour,TopBrand,18,327.6,10,5307.12,Debit Card,False,5896.8,589.6800000000003,3,1,10,294.84,True
TXN000028,2023-12-08,CUST5905,18-25,Jaipur,North,STORE009,Bakery,Donut,PureLife,10,921.4,0,9214.0,Cash,False,9214.0,0.0,12,4,49,921.4,False
TXN000029,2023-06-25,CUST4335,36-45,Delhi,North,STORE033,Dairy & Eggs,Buttermilk,ValueBuy,9,429.82,5,3674.96,Debit Card,False,3868.38,193.42000000000007,6,2,25,408.3288888888889,True
TXN000030,2023-03-08,CUST5291,26-35,Pune,West,STORE048,Fruits & Vegetables,Banana,ValueBuy,9,75.69,15,579.03,Net Banking,False,681.21,102.18000000000006,3,1,10,64.33666666666666,False
TXN000031,2023-10-07,CUST1590,36-45,Hyderabad,South,STORE038,Frozen Foods,Chicken Nuggets,Premium,4,122.11,0,488.44,Credit Card,False,488.44,0.0,10,4,40,122.11,True
TXN000032,2023-07-03,CUST4441,26-35,Hyderabad,South,STORE043,Frozen Foods,Frozen Peas,NatureBest,10,553.33,0,5533.3,Debit Card,False,5533.3,0.0,7,3,27,553.33,True
TXN000033,2023-03-25,CUST3900,46-55,Lucknow,North,STORE002,Cleaning Supplies,Trash Bags,HomeChoice,5,1389.39,5,6599.6,Debit Card,False,6946.950000000001,347.35000000000036,3,1,12,1319.92,True
TXN000034,2023-07-15,CUST1634,46-55,Chennai,South,STORE015,Frozen Foods,Fish Fingers,GreenLeaf,6,1183.19,0,7099.14,UPI,False,7099.14,0.0,7,3,28,1183.19,True
TXN000035,2023-07-24,CUST6378,36-45,Bangalore,South,STORE005,Snacks & Confectionery,Granola Bar,PureLife,8,45.26,5,343.98,Debit Card,False,362.08,18.099999999999966,7,3,30,42.9975,True
TXN000036,2023-05-14,CUST3925,55+,Jaipur,North,STORE017,Cleaning Supplies,Trash Bags,FreshMart,11,1409.46,0,15504.06,Cash,False,15504.060000000001,1.8189894035458565e-12,5,2,19,1409.46,False
TXN000037,2023-07-17,CUST4114,36-45,Kolkata,East,STORE003,Grains & Pulses,Quinoa,EcoFresh,11,660.23,0,7262.53,Cash,False,7262.530000000001,9.094947017729282e-13,7,3,29,660.23,False
TXN000038,2023-11-16,CUST6143,18-25,Bangalore,South,STORE047,Cleaning Supplies,Disinfectant Spray,PureLife,12,652.63,15,6656.83,Net Banking,False,7831.5599999999995,1174.7299999999996,11,4,46,554.7358333333333,False
TXN000039,2023-04-09,CUST7888,46-55,Kolkata,East,STORE044,Beverages,Energy Drink,HomeChoice,13,1048.84,0,13634.92,Net Banking,False,13634.919999999998,-1.8189894035458565e-12,4,2,14,1048.84,False
TXN000040,2023-05-27,CUST4443,46-55,Pune,West,STORE038,Grains & Pulses,Oats,Local,18,1252.25,10,20286.45,Debit Card,False,22540.5,2254.0499999999993,5,2,21,1127.025,True
TXN000041,2023-12-04,CUST2389,36-45,Ahmedabad,West,STORE033,Personal Care,Lip Balm,Local,7,771.65,0,5401.55,Debit Card,False,5401.55,0.0,12,4,49,771.65,True
TXN000042,2023-01-13,CUST1757,26-35,Chennai,South,STORE031,Dairy & Eggs,Yogurt,Local,8,1211.78,0,9694.24,Cash,False,9694.24,0.0,1,1,2,1211.78,False
TXN000043,2023-09-11,CUST7547,26-35,Lucknow,North,STORE010,Personal Care,Sunscreen,FreshMart,7,1080.34,20,6049.9,Cash,True,7562.379999999999,1512.4799999999996,9,3,37,864.2714285714285,False
TXN000044,2023-03-04,CUST8478,26-35,Delhi,North,STORE030,Frozen Foods,Fish Fingers,Premium,17,702.18,5,11340.21,Net Banking,False,11937.06,596.8500000000004,3,1,9,667.0711764705882,False
TXN000045,2023-10-08,CUST8305,26-35,Ahmedabad,West,STORE048,Grains & Pulses,Semolina,ValueBuy,20,1224.36,20,19589.76,UPI,True,24487.199999999997,4897.439999999999,10,4,40,979.4879999999999,True
TXN000046,2023-05-21,CUST8206,18-25,Chennai,South,STORE046,Beverages,Coffee Powder,PureLife,17,732.05,5,11822.61,Credit Card,False,12444.849999999999,622.239999999998,5,2,20,695.4476470588236,True
TXN000047,2023-04-29,CUST7275,26-35,Kolkata,East,STORE046,Beverages,Mango Juice,GreenLeaf,18,130.06,0,2341.08,Cash,False,2341.08,0.0,4,2,17,130.06,False
TXN000048,2023-04-16,CUST7883,46-55,Kolkata,East,STORE050,Frozen Foods,Frozen Fries,Local,18,704.23,0,12676.14,Cash,False,12676.14,0.0,4,2,15,704.23,False
TXN000049,2023-07-19,CUST7865,55+,Ahmedabad,West,STORE048,Grains & Pulses,Quinoa,Premium,1,1414.69,10,1273.22,Net Banking,False,1414.69,141.47000000000003,7,3,29,1273.22,False
TXN000050,2023-07-19,CUST6507,46-55,Bangalore,South,STORE047,Meat & Seafood,Beef Steak,HomeChoice,9,659.4,0,5934.6,UPI,False,5934.599999999999,-9.094947017729282e-13,7,3,29,659.4000000000001,True
TXN000051,2023-02-12,CUST8022,26-35,Jaipur,North,STORE030,Bakery,Pita Bread,HomeChoice,1,1361.32,0,1361.32,Cash,False,1361.32,0.0,2,1,6,1361.32,False
TXN000052,2023-07-14,CUST5558,46-55,Kolkata,East,STORE017,Beverages,Energy Drink,NatureBest,7,687.5,15,4090.62,UPI,False,4812.5,721.8800000000001,7,3,28,584.3742857142857,True
TXN000053,2023-11-30,CUST1659,18-25,Hyderabad,South,STORE016,Fruits & Vegetables,Potato,GreenLeaf,12,344.09,0,4129.08,Cash,False,4129.08,0.0,11,4,48,344.09,False
TXN000054,2023-10-16,CUST4571,46-55,Bangalore,South,STORE045,Grains & Pulses,Red Lentils,PureLife,5,715.61,0,3578.05,Debit Card,False,3578.05,0.0,10,4,42,715.61,True
TXN000055,2023-06-09,CUST2771,55+,Lucknow,North,STORE002,Bakery,Pita Bread,PureLife,4,1168.91,0,4675.64,Net Banking,False,4675.64,0.0,6,2,23,1168.91,False
TXN000056,2023-02-22,CUST5941,55+,Bangalore,South,STORE008,Frozen Foods,Frozen Fries,Local,3,892.23,5,2542.86,Cash,False,2676.69,133.82999999999993,2,1,8,847.62,False
TXN000057,2023-01-07,CUST7882,46-55,Pune,West,STORE007,Snacks & Confectionery,Pretzels,EcoFresh,12,112.75,15,1150.05,Debit Card,False,1353.0,202.95000000000005,1,1,1,95.83749999999999,True
TXN000058,2023-11-12,CUST9817,46-55,Pune,West,STORE030,Personal Care,Toothpaste,EcoFresh,6,1103.36,10,5958.14,Net Banking,False,6620.16,662.0199999999995,11,4,45,993.0233333333334,False
TXN000059,2023-05-05,CUST8613,55+,Bangalore,South,STORE040,Beverages,Mango Juice,EcoFresh,3,425.6,25,957.6,Debit Card,True,1276.8000000000002,319.20000000000016,5,2,18,319.2,True
TXN000060,2023-05-13,CUST6576,36-45,Kolkata,East,STORE039,Fruits & Vegetables,Grapes,PureLife,6,736.45,15,3755.89,Net Banking,False,4418.700000000001,662.8100000000009,5,2,19,625.9816666666667,False
TXN000061,2023-09-08,CUST4937,46-55,Bangalore,South,STORE042,Fruits & Vegetables,Potato,ValueBuy,3,369.62,20,887.09,UPI,True,1108.8600000000001,221.7700000000001,9,3,36,295.69666666666666,True
TXN000062,2023-06-06,CUST7046,46-55,Chennai,South,STORE036,Fruits & Vegetables,Banana,Premium,8,612.56,5,4655.46,Debit Card,False,4900.48,245.01999999999953,6,2,23,581.9325,True
TXN000063,2023-06-06,CUST5118,26-35,Kolkata,East,STORE008,Frozen Foods,Chicken Nuggets,GreenLeaf,12,1057.25,10,11418.3,Debit Card,False,12687.0,1268.7000000000007,6,2,23,951.525,True
TXN000064,2023-05-22,CUST9595,55+,Delhi,North,STORE019,Dairy & Eggs,Buttermilk,NatureBest,7,332.41,25,1745.15,Credit Card,True,2326.8700000000003,581.7200000000003,5,2,21,249.30714285714288,True
TXN000065,2023-05-21,CUST1745,18-25,Kolkata,East,STORE036,Beverages,Coffee Powder,PureLife,6,460.38,0,2762.28,Credit Card,False,2762.2799999999997,-4.547473508864641e-13,5,2,20,460.38000000000005,True
TXN000066,2023-08-14,CUST6582,26-35,Hyderabad,South,STORE004,Personal Care,Conditioner,PureLife,19,433.67,25,6179.8,UPI,True,8239.73,2059.9299999999994,8,3,33,325.2526315789474,True
TXN000067,2023-03-19,CUST3444,55+,Pune,West,STORE020,Dairy & Eggs,Butter,NatureBest,16,120.38,0,1926.08,Credit Card,False,1926.08,0.0,3,1,11,120.38,True
TXN000068,2023-09-25,CUST7232,46-55,Pune,West,STORE029,Dairy & Eggs,Buttermilk,PureLife,20,898.23,5,17066.37,Net Banking,False,17964.6,898.2299999999996,9,3,39,853.3185,False
TXN000069,2023-04-17,CUST4457,36-45,Lucknow,North,STORE043,Frozen Foods,Frozen Corn,NatureBest,20,99.74,0,1994.8,Credit Card,False,1994.8,0.0,4,2,16,99.74,True
TXN000070,2023-08-19,CUST8699,36-45,Jaipur,North,STORE003,Meat & Seafood,Mutton Chops,GreenLeaf,3,243.23,20,583.75,Debit Card,True,729.6899999999999,145.93999999999994,8,3,33,194.58333333333334,True
TXN000071,2023-08-06,CUST2880,55+,Mumbai,West,STORE015,Beverages,Lemonade,HomeChoice,8,1386.63,5,10538.39,Debit Card,False,11093.04,554.6500000000015,8,3,31,1317.29875,True
TXN000072,2023-08-13,CUST3037,46-55,Hyderabad,South,STORE045,Bakery,Brown Bread,PureLife,6,1191.02,10,6431.51,UPI,False,7146.12,714.6099999999997,8,3,32,1071.9183333333333,True
TXN000073,2023-08-10,CUST6280,55+,Jaipur,North,STORE017,Beverages,Coconut Water,FreshMart,16,662.26,0,10596.16,Cash,False,10596.16,0.0,8,3,32,662.26,False
TXN000074,2023-10-23,CUST1659,26-35,Lucknow,North,STORE031,Meat & Seafood,Sardines,Premium,1,1499.36,10,1349.42,UPI,False,1499.36,149.93999999999983,10,4,43,1349.42,True
TXN000075,2023-02-16,CUST8700,36-45,Lucknow,North,STORE027,Beverages,Green Tea,TopBrand,14,955.83,25,10036.21,Debit Card,True,13381.62,3345.4100000000017,2,1,7,716.8721428571428,True
TXN000076,2023-12-06,CUST7561,55+,Kolkata,East,STORE003,Dairy & Eggs,Cheddar Cheese,ValueBuy,14,1043.57,10,13148.98,Cash,False,14609.98,1461.0,12,4,49,939.2128571428572,False
TXN000077,2023-09-21,CUST1018,55+,Kolkata,East,STORE030,Snacks & Confectionery,Granola Bar,EcoFresh,4,1455.58,20,4657.86,Cash,True,5822.32,1164.46,9,3,38,1164.465,False
TXN000078,2023-01-27,CUST4335,36-45,Kolkata,East,STORE036,Meat & Seafood,Crab Meat,HomeChoice,20,1137.1,25,17056.5,Debit Card,True,22742.0,5685.5,1,1,4,852.825,True
TXN000079,2023-12-30,CUST3594,36-45,Mumbai,West,STORE036,Personal Care,Lip Balm,FreshMart,1,1459.99,5,1386.99,Net Banking,False,1459.99,73.0,12,4,52,1386.99,False
TXN000080,2023-11-28,CUST3522,46-55,Bangalore,South,STORE046,Frozen Foods,Ice Cream,PureLife,4,697.56,0,2790.24,Net Banking,False,2790.24,0.0,11,4,48,697.56,False
TXN000081,2023-07-16,CUST4122,55+,Ahmedabad,West,STORE033,Beverages,Energy Drink,HomeChoice,16,373.16,0,5970.56,Cash,False,5970.56,0.0,7,3,28,373.16,False
TXN000082,2023-05-25,CUST5891,55+,Kolkata,East,STORE038,Beverages,Energy Drink,ValueBuy,17,408.09,0,6937.53,Credit Card,False,6937.53,0.0,5,2,21,408.09,True
TXN000083,2023-08-22,CUST6272,26-35,Ahmedabad,West,STORE045,Personal Care,Hand Cream,GreenLeaf,12,505.34,20,4851.26,Net Banking,True,6064.08,1212.8199999999997,8,3,34,404.2716666666667,False
TXN000084,2023-12-28,CUST7246,46-55,Pune,West,STORE043,Frozen Foods,Fish Fingers,HomeChoice,2,484.08,25,726.12,UPI,True,968.16,242.03999999999996,12,4,52,363.06,True
TXN000085,2023-08-14,CUST2633,55+,Jaipur,North,STORE030,Fruits & Vegetables,Tomato,FreshMart,19,504.67,0,9588.73,Credit Card,False,9588.73,0.0,8,3,33,504.66999999999996,True
TXN000086,2023-06-23,CUST7512,18-25,Mumbai,West,STORE022,Frozen Foods,Frozen Peas,Premium,16,1174.47,10,16912.37,UPI,False,18791.52,1879.1500000000015,6,2,25,1057.023125,True
TXN000087,2023-11-20,CUST5708,26-35,Jaipur,North,STORE048,Snacks & Confectionery,Peanut Butter Cups,NatureBest,2,930.01,5,1767.02,UPI,False,1860.02,93.0,11,4,47,883.51,True
TXN000088,2023-01-24,CUST6314,18-25,Ahmedabad,West,STORE019,Dairy & Eggs,Butter,TopBrand,6,1044.06,0,6264.36,Debit Card,False,6264.36,0.0,1,1,4,1044.06,True
TXN000089,2023-03-29,CUST3868,18-25,Bangalore,South,STORE040,Frozen Foods,Frozen Peas,EcoFresh,17,623.96,0,10607.32,Net Banking,False,10607.32,0.0,3,1,13,623.96,False
TXN000090,2023-08-24,CUST5183,18-25,Lucknow,North,STORE030,Meat & Seafood,Beef Steak,PureLife,5,355.96,10,1601.82,Net Banking,False,1779.8,177.98000000000002,8,3,34,320.364,False
TXN000091,2023-11-24,CUST7951,36-45,Ahmedabad,West,STORE030,Bakery,Brown Bread,PureLife,12,1481.6,10,16001.28,Credit Card,False,17779.199999999997,1777.9199999999964,11,4,47,1333.44,True
TXN000092,2023-10-22,CUST5847,36-45,Mumbai,West,STORE002,Frozen Foods,Waffles,EcoFresh,8,578.23,15,3931.96,Debit Card,False,4625.84,693.8800000000001,10,4,42,491.495,True
TXN000093,2023-04-28,CUST6772,26-35,Hyderabad,South,STORE041,Fruits & Vegetables,Broccoli,GreenLeaf,20,1120.31,10,20165.58,Net Banking,False,22406.199999999997,2240.6199999999953,4,2,17,1008.2790000000001,False
TXN000094,2023-01-18,CUST6977,26-35,Mumbai,West,STORE006,Beverages,Green Tea,PureLife,2,470.31,25,705.46,Debit Card,True,940.62,235.15999999999997,1,1,3,352.73,True
TXN000095,2023-09-29,CUST9221,36-45,Bangalore,South,STORE011,Frozen Foods,Frozen Peas,PureLife,5,1181.9,15,5023.08,UPI,False,5909.5,886.4200000000001,9,3,39,1004.616,True
TXN000096,2023-04-26,CUST7511,55+,Mumbai,West,STORE024,Beverages,Mango Juice,NatureBest,15,1444.71,0,21670.65,UPI,False,21670.65,0.0,4,2,17,1444.71,True
TXN000097,2023-10-27,CUST7242,36-45,Jaipur,North,STORE007,Fruits & Vegetables,Spinach,GreenLeaf,4,687.63,10,2475.47,UPI,False,2750.52,275.0500000000002,10,4,43,618.8675,True
TXN000098,2023-11-28,CUST2035,46-55,Jaipur,North,STORE045,Fruits & Vegetables,Broccoli,PureLife,11,1373.73,5,14355.48,UPI,False,15111.03,755.5500000000011,11,4,48,1305.0436363636363,True
TXN000099,2023-03-01,CUST2592,26-35,Hyderabad,South,STORE035,Dairy & Eggs,Cheddar Cheese,HomeChoice,2,463.5,25,695.25,UPI,True,927.0,231.75,3,1,9,347.625,True
TXN000100,2023-08-01,CUST2622,46-55,Jaipur,North,STORE040,Personal Care,Deodorant,EcoFresh,14,885.14,0,12391.96,Debit Card,False,12391.96,0.0,8,3,31,885.14,True
TXN000101,2023-07-05,CUST2627,36-45,Bangalore,South,STORE035,Fruits & Vegetables,Carrot,TopBrand,15,672.6,5,9584.55,Cash,False,10089.0,504.4500000000007,7,3,27,638.9699999999999,False
TXN000102,2023-02-16,CUST4475,55+,Bangalore,South,STORE002,Frozen Foods,Frozen Corn,FreshMart,4,1424.03,25,4272.09,Debit Card,True,5696.12,1424.0299999999997,2,1,7,1068.0225,True
TXN000103,2023-10-28,CUST4538,26-35,Lucknow,North,STORE022,Meat & Seafood,Mutton Chops,HomeChoice,7,112.23,5,746.33,Net Banking,False,785.61,39.27999999999997,10,4,43,106.61857142857143,False
TXN000104,2023-02-26,CUST1422,26-35,Delhi,North,STORE001,Fruits & Vegetables,Spinach,TopBrand,5,814.92,0,4074.6,Credit Card,False,4074.6,0.0,2,1,8,814.92,True
TXN000105,2023-08-04,CUST9619,18-25,Hyderabad,South,STORE048,Grains & Pulses,Semolina,NatureBest,6,405.4,0,2432.4,UPI,False,2432.3999999999996,-4.547473508864641e-13,8,3,31,405.40000000000003,True
TXN000106,2023-11-11,CUST1710,55+,Jaipur,North,STORE020,Personal Care,Deodorant,ValueBuy,19,172.49,5,3113.44,Cash,False,3277.3100000000004,163.87000000000035,11,4,45,163.86526315789473,False
TXN000107,2023-12-31,CUST8267,18-25,Pune,West,STORE006,Fruits & Vegetables,Grapes,TopBrand,14,1032.29,25,10839.05,Net Banking,True,14452.06,3613.01,12,4,52,774.217857142857,False
TXN000108,2023-07-15,CUST9692,36-45,Delhi,North,STORE030,Bakery,Brown Bread,Premium,9,940.23,15,7192.76,Net Banking,False,8462.07,1269.3099999999995,7,3,28,799.1955555555555,False
TXN000109,2023-08-09,CUST8398,26-35,Mumbai,West,STORE027,Frozen Foods,Ice Cream,TopBrand,18,1084.05,5,18537.26,UPI,False,19512.899999999998,975.6399999999994,8,3,32,1029.8477777777778,True
TXN000110,2023-07-11,CUST3500,46-55,Mumbai,West,STORE005,Frozen Foods,Frozen Fries,NatureBest,11,645.88,10,6394.21,Cash,False,7104.68,710.4700000000003,7,3,28,581.2918181818181,False
TXN000111,2023-10-28,CUST6400,18-25,Mumbai,West,STORE027,Dairy & Eggs,Cream,TopBrand,12,1219.54,0,14634.48,UPI,False,14634.48,0.0,10,4,43,1219.54,True
TXN000112,2023-03-21,CUST8900,26-35,Lucknow,North,STORE007,Fruits & Vegetables,Spinach,TopBrand,10,533.95,5,5072.52,Net Banking,False,5339.5,266.97999999999956,3,1,12,507.25200000000007,False
TXN000113,2023-10-15,CUST1430,55+,Chennai,South,STORE043,Snacks & Confectionery,Chocolate Bar,PureLife,19,346.98,20,5274.1,Cash,True,6592.620000000001,1318.5200000000004,10,4,41,277.5842105263158,False
TXN000114,2023-03-15,CUST7566,18-25,Chennai,South,STORE010,Bakery,Baguette,FreshMart,11,533.02,0,5863.22,Cash,False,5863.219999999999,-9.094947017729282e-13,3,1,11,533.02,False
TXN000115,2023-07-09,CUST6105,36-45,Pune,West,STORE050,Cleaning Supplies,Glass Cleaner,Local,14,685.93,0,9603.02,Net Banking,False,9603.019999999999,-1.8189894035458565e-12,7,3,27,685.9300000000001,False
TXN000116,2023-12-12,CUST2336,36-45,Delhi,North,STORE029,Dairy & Eggs,Milk,EcoFresh,6,1134.11,0,6804.66,UPI,False,6804.66,0.0,12,4,50,1134.11,True
TXN000117,2023-06-26,CUST8043,18-25,Pune,West,STORE019,Grains & Pulses,Black Beans,Local,9,331.2,0,2980.8,UPI,False,2980.7999999999997,-4.547473508864641e-13,6,2,26,331.20000000000005,True
TXN000118,2023-01-04,CUST4349,36-45,Hyderabad,South,STORE014,Cleaning Supplies,Toilet Cleaner,HomeChoice,8,598.94,0,4791.52,Debit Card,False,4791.52,0.0,1,1,1,598.94,True
TXN000119,2023-03-31,CUST3116,46-55,Mumbai,West,STORE035,Beverages,Mango Juice,GreenLeaf,1,751.1,20,600.88,Net Banking,True,751.1,150.22000000000003,3,1,13,600.88,False
TXN000120,2023-08-12,CUST1307,46-55,Mumbai,West,STORE005,Cleaning Supplies,Sponge Pack,TopBrand,13,1294.03,0,16822.39,Net Banking,False,16822.39,0.0,8,3,32,1294.03,False
TXN000121,2023-01-11,CUST6321,26-35,Pune,West,STORE040,Frozen Foods,Frozen Berries,ValueBuy,14,441.38,20,4943.46,Debit Card,True,6179.32,1235.8599999999997,1,1,2,353.1042857142857,True
TXN000122,2023-09-26,CUST2288,46-55,Mumbai,West,STORE020,Dairy & Eggs,Cream,TopBrand,8,659.16,20,4218.62,Credit Card,True,5273.28,1054.6599999999999,9,3,39,527.3275,True
TXN000123,2023-06-28,CUST6752,26-35,Mumbai,West,STORE016,Snacks & Confectionery,Popcorn,NatureBest,17,953.5,5,15399.02,Credit Card,False,16209.5,810.4799999999996,6,2,26,905.824705882353,True
TXN000124,2023-04-01,CUST9095,46-55,Delhi,North,STORE049,Beverages,Coffee Powder,Local,20,237.78,0,4755.6,Net Banking,False,4755.6,0.0,4,2,13,237.78000000000003,False
TXN000125,2023-03-19,CUST8205,18-25,Lucknow,North,STORE031,Personal Care,Razor,ValueBuy,11,1297.73,15,12133.78,Debit Card,False,14275.03,2141.25,3,1,11,1103.0709090909093,True
TXN000126,2023-08-25,CUST8404,18-25,Hyderabad,South,STORE004,Beverages,Herbal Tea,TopBrand,12,765.93,10,8272.04,Debit Card,False,9191.16,919.119999999999,8,3,34,689.3366666666667,True
TXN000127,2023-10-25,CUST1672,46-55,Lucknow,North,STORE037,Dairy & Eggs,Butter,GreenLeaf,20,765.53,25,11482.95,Debit Card,True,15310.599999999999,3827.649999999998,10,4,43,574.1475,True
TXN000128,2023-02-22,CUST6626,18-25,Jaipur,North,STORE033,Grains & Pulses,Black Beans,HomeChoice,5,1437.01,25,5388.79,Cash,True,7185.05,1796.2600000000002,2,1,8,1077.758,False
TXN000129,2023-07-06,CUST7108,36-45,Ahmedabad,West,STORE025,Meat & Seafood,Beef Steak,EcoFresh,17,788.89,0,13411.13,Debit Card,False,13411.13,0.0,7,3,27,788.89,True
TXN000130,2023-05-26,CUST5128,55+,Kolkata,East,STORE010,Grains & Pulses,Basmati Rice,TopBrand,3,501.24,20,1202.98,Cash,True,1503.72,300.74,5,2,21,400.99333333333334,False
TXN000131,2023-03-08,CUST2388,36-45,Kolkata,East,STORE036,Grains & Pulses,Red Lentils,EcoFresh,10,1451.87,20,11614.96,Debit Card,True,14518.699999999999,2903.74,3,1,10,1161.4959999999999,True
TXN000132,2023-07-05,CUST6060,26-35,Mumbai,West,STORE014,Bakery,Bagel,TopBrand,14,767.65,0,10747.1,UPI,False,10747.1,0.0,7,3,27,767.65,True
